Run p Disp_sta Disp_mob Diff_disp Landscape Gendiv_t0 Gendiv_t50 Gendiv_loss Colon_npatches Colon_t Colon_rate Colon_sdrate Colon_meanrate Colon_CV gendivlossSouth gendivlossNortheast gendivlossNorthwest Meangendivloss sdgendivloss cvgendivloss Ae_t0 Ae_t50 Ae_loss AelossSouth AelossNortheast AelossNorthwest MeanAeloss sdAeloss CVAeloss
LHS_155 0.5 3.77 31.98 38.82 Continuous 0.4882 0.490303668 -0.002103668 229 12 19.08333333 9.028728582 15.15277778 0.595846433 -0.000123812 0.002986405 0.005480935 0.002781176 0.002808004 1.009646281 1.990156685 1.964750818 0.025405867 0.003037503 0.009260396 0.019338634 0.010545511 0.008226199 0.780066457
LHS_156 0.32 0.96 26.34 90.15 Patchy_50 0.4928 0.482032235 0.010767765 114 16 7.125 5.553832198 7.104166667 0.781771101 -0.007511022 -0.000563502 0.004663245 -0.001137093 0.006107368 -5.371036336 1.988937529 1.950318838 0.038618691 0.001315434 0.024533403 0.046458236 0.024102357 0.022574488 0.93660912
LHS_157 0.7 1.13 21.65 15.7 Patchy_50 0.5003 0.464414601 0.035885399 114 28 4.071428571 2.618695864 3.738095238 0.700542843 -0.009517407 0.010194237 0.022815472 0.007830767 0.016295498 2.080958075 1.991732319 1.92166264 0.070069679 -0.013290589 0.054671565 0.101341014 0.047573996 0.057644451 1.211679806
LHS_158 0.27 1.56 19.47 49.27 Patchy_50 0.4925 0.481472239 0.011027761 114 20 5.7 2.117978596 4.333333333 0.488764291 0.001461909 0.011449514 0.016216818 0.009709414 0.007529794 0.775514771 1.991557787 1.951591202 0.039966585 -0.002534046 0.031352896 0.048903858 0.025907569 0.026147718 1.009269445
LHS_159 0.54 2.94 25.09 10.51 Patchy_50 0.4946 0.483226392 0.011373608 114 16 7.125 5.790621908 6.870833333 0.842783055 -0.007372847 -0.000989191 0.003386143 -0.001658632 0.005410645 -3.262113829 1.988470846 1.955429554 0.033041292 -0.012044648 0.012617958 0.032633536 0.011068949 0.022379335 2.021812113
LHS_16 0.47 3.95 37.84 62.06 Patchy_50 0.5028 0.490405465 0.012394535 114 10 11.4 4.593030146 8.355555556 0.549697757 0.000696839 0.004331666 0.004656208 0.003228238 0.002198253 0.680945245 1.988696251 1.96735961 0.02133664 0.001268909 0.013604663 0.02122284 0.012032137 0.010069482 0.836882246
LHS_160 0.7 2.67 23.41 64.57 Patchy_25 0.4968 0.479391966 0.017408034 171 20 8.55 2.531962348 6.583333333 0.384601876 -0.007240523 -0.001663228 0.012103425 0.001066558 0.0099567 9.335356464 1.989269878 1.945972974 0.043296904 0.002042491 0.021960894 0.070445255 0.03148288 0.035181468 1.11747933
LHS_161 0.41 3.04 46.53 0.96 Patchy_25 0.4909 0.49414989 -0.00324989 171 8 21.375 3.599045012 14.875 0.241952606 -0.004760786 -0.005412353 -0.00517425 -0.005115796 0.000329693 -0.06444612 1.989275814 1.977385305 0.011890509 -0.001014426 -0.001615924 0.002487092 -0.0000477525 0.002215746 -46.4005764
LHS_162 0.38 2.89 22.08 41.69 Patchy_50 0.501 0.477669177 0.023330823 114 16 7.125 5.790621908 6.870833333 0.842783055 0.001141316 0.012104423 0.021328669 0.011524802 0.01010615 0.876904425 1.989891352 1.942137483 0.047753869 0.002461707 0.041872817 0.076133662 0.040156062 0.036865969 0.918067344
LHS_163 0.45 0.83 12.13 97.9 Patchy_25 0.4896 0.447848276 0.041751724 171 38 4.5 2.139604834 3.862865497 0.553890586 -0.0000244309 0.016629648 0.060336441 0.025647219 0.031174447 1.215509824 1.989871554 1.916918095 0.072953458 0.014218158 0.076780677 0.20004442 0.097014418 0.094551061 0.974608336
